id,preco
13518783164498355150900635905895481162,70247.4404257395
299896161723793383246777788797566040330,84248.22663370127
316180649972302128246133616457018378621,235497.286966537
222527157104148385909188217274642813298,103957.04119500467
160460343059850745858546502614838368036,91057.4507985657
262727202368986244371977784343233436999,64336.42081518325
254093764205800086330999281077926851120,138215.84148941777
26118184613036116787803832945215674478,246933.19989296736
216524630140335566712794225427064313,210483.1269314614
185631381169816366226494379020452029389,276620.46888837445
193325654448132563278364141820152041311,145367.52234448236
238917637717691361625086479663492481749,86635.06789575882
55430829679256880238551444522175018156,100256.45738698171
215317645068876070368783807654911699750,266927.98968636716
81597227204971961501733390453078413740,189623.59848649628
144896666825908872755051834814298387194,95117.35793937069
184599608599423525451999366981389806783,226039.41632348855
332523842755767369964829329030378044388,127171.70142841665
115343777354602647202140618045743635008,176043.9731532678
20757170217235469489036110086071917277,100744.31178572167
185526399598537813925895625787601650168,91532.84323216078
60658042813489826886245400795986219027,98893.85907532946
252469656136469704862465423825396909961,269756.8275269112
144289133420257677937750963126363910239,66668.00026802448
286704706212186527658783613441315754259,125009.64529489513
104788498292328609834480593297039083847,82862.7998659191
83091551517048057678460117003997132666,254402.9691551552
253819240599250454081144283787356606601,69457.5834979788
47552100267769170589122325402191982347,127644.56906152652
143932540867090135955180920741784357244,160118.7192686337
196345985565471044954698780677909306202,219240.2162429611
244792708737468723430839923035345593106,68547.10360454516
84589940414664494482357035061818012137,89804.56812678082
272199586960887794853261858460695880945,142249.27946907838
49959439507026713714422386346459644032,90870.43172120172
281026519311657672970881937258693325762,54388.6129619432
93074564150014753673961081882123830374,209067.83753431257
26728401390792884431172378844166640182,350963.4772448026
188211565885838356078706489204052877949,55800.759319015386
72487946181948797581370306862646034491,100754.24765067283
228864048115975611203958077134700148633,129298.86063497687
112454259487642510247400972640243226784,132290.28951659176
222663295482952330188872827964862490542,61252.16611181959
174300102534868734265445704595501072047,92725.52015206496
65616068149477861830943576277231644996,139942.3527349949
12512429268260634755522419284910697215,401610.41181734146
336344009530167442733355949279054127993,39803.583813816265
79522286518792634854353998912967788405,87722.43704617793
82689802293775881487902613650793199776,128197.25477877977
145087209205382180995284342956932775590,69009.24387464307
148379644220249469735831915363404593938,64615.91122562214
81783415914068556337040372580510327746,126151.01430810963
17392005129747944984443660408573750669,80416.40996601625
221003909581330971303914733428302885356,240327.27252637676
32270994133870633595828638411924379558,125338.7108625258
44743423162474884539743903954385097896,163696.8374078213
256739781367016694034266877805520625472,269808.097649227
102069821313289958956134954896763391138,143315.8832634132
295239204594155572903470420706758961711,102299.54020880142
217043924033496343963491521400562422856,98861.45182660993
230630223901851276472648163541398202700,86046.06867116303
228794583325189840821498523768389390979,114255.82614957975
226883211751919793077312253417502568887,133354.04204395637
178727794896076301413017290746899811351,63203.82803379092
